Active?,Middle East and North Africa,Region within MENA,Country,Think Tank Name,Think Tank Affiliation,Ideology,Country (Physical),City (Physical),Region (Physical),Coordinates,Street Address (unused)
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Businesswomen's Society,Foreign,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Center for Human Rights,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Centre for Studies and Research,Governmental,,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Human Rights Watch Society,Foreign,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Institute for Political Development,Governmental,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Society for Strategic Planning,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Women Association for Human Development,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Bahrain,Bahrain Young Ladies Association,,,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,DERASAT: Bahrain Center for Strategic International and Energy Studies,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Economic Development Board Bahrain,Foreign,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,International Peace Institute,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,National Institute for Human Rights,Foreign,Lberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Al Shabaka- The Palestinian Policy Network,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Al-Mustakbal Foundation for Strategic and Policy Studies,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Al-Zaytouna Centre for Studies and Consultations,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Applied Research Institute-Jerusalem,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Arab Thought Forum,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Asala: Palestinian Businesswomen's Association,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Center for Palestine Research and Studies,Independent,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Contemporary Center for Studies and Policy Analysis ,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Geneva Center for the Democratic Control of Armed Forces,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Health Development Information and Policy Institute,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Holy Land Trust,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Institute for Development Studies,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Institute of Palestine Studies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Israel-Palestine: Creative Regional Initiatives (IPCRI),Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Issam Sartawi Center for the Advancement of Peace and Democracy,University,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Jerusalem Center for Social and Economic Rights,,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Land Research Center,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,MA’AN Center,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Middle East Institute for Development,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Miftah: Palestinian Iniatitive for the Promotion of Global Dialogue and Democracy,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Muwatin Palestinian Institute for the Study of Democracy,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestine Academy for Science and Technology,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestine Economic Policy Research Institute- MAS,Independent,Non-Partisan,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Palestine Energy and Environment Research Center,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Academic Society for the Study of International Affairs,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Businessmen Association,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Center for Policy and Survey Research,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Palestinian Center for Regional Studies,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Counseling Center,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Curriculum Development Center,Foreign,Non-Partisan,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Palestinian Economists Association,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Pal-Think for Strategic Studies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Peace Research Institute in the Middle East,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,The House Of Wisdom Institution For Conflict Resolution & Governance,Foreign,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,The Palestinian Centre for Peace and Democracy,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Ramallah Center for Human Rights Studies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Al Jazeera Center for Studies,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Brookings Doha Center,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Center for International and Regional Studies- Georgetown University,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Doha Center for Media Freedom,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Doha International Family Institute,Quasi-Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Education Development Institute,Quasi-Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Institute of Administrative Development,Governmental,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Qatar Environment and Energy Research Institute,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Qatar Foundation,Foreign,Non-Partisan,,,,,
FALSE,Middle East and North Africa,Middle East,Qatar,Qatar Foundation for Combating Human Trafficking,,Non-Partisan,,,,,
FALSE,Middle East and North Africa,Middle East,Qatar,RAND-Qatar Policy Institute,,,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,RUSI Qatar,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,The Arab Center for Research and Policy ,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,The Social and Economic Survey Research Institute,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,Al-Aghar Group,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,Arabian Gulf Center for Iranian Studies,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,Arab Urban Development Institute,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,Gulf Research Center,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,King Abdullah Petroleum Studies and Research Center,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,King Faisal Center for Research and Islamic Studies,Quasi-Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,King Faisal Foundation,Quasi-Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,Saudi Association for Energy Economics,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,The King Salman Center for Local Governance,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Syria,Aga Khan Development Network,Independent,Non-Partisan,,,,,
FALSE,Middle East and North Africa,Middle East,Syria,Arab Center for Strategic Studies,,,,,,,
TRUE,Middle East and North Africa,Middle East,Syria,Arab Center for the Studies of Arid Zones and Dry Lands,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Syria,Damascus Center for Theoretical and Civil Rights Studies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Syria,Committees for the Defense of Democracy Freedoms and Human Rights in Syria,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Syria,International Center for Agricultural Research in the Dry Area,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Syria,Syrian Center for Media and Freedom of Expression,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Syria,Syrian Center for Policy Research,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Syria,Syrian Consulting Bureau for Development and Investment,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Syria,The Arab-European Center of Human Rights and International Law,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Larsa Center for Legal Studies Programming and Human Rights,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Al–Forat for Development and Studies Center,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Al-Rafidain Center for Ensuring Human Right,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Badlisy Cultural Center,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq, Baghdad Economic and Banking Forum,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Baghdad Economic Research Center,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Baghdad Institute,,,,,,,
TRUE,Middle East and North Africa,Middle East,Iraq,Civil Society Initiative CSI,Foreign,Liberal,Iraq,Sulaimaniya,Kurdistan,,
TRUE,Middle East and North Africa,Middle East,Iraq,Hamourabi Human Rights Organization ,Independent,Liberal,Iraq,Baghdad,,,
TRUE,Middle East and North Africa,Middle East,Iraq,House of Wisdom,Religious,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Inda Network for Elections Monitoring ,,,,,,,
TRUE,Middle East and North Africa,Middle East,Iraq,Iraq Foundation,Foreign,Liberal,America,Washington,District of Colombia, 38 54 25.523 N 77 1 58.762 E,1420 N St NW #102 Washington DC 20005 USA
FALSE,Middle East and North Africa,Middle East,Iraq,Iraq Foundation for Development and Democracy,,,,,,,
TRUE,Middle East and North Africa,Middle East,Iraq,Iraq Journalists Right Defence Association,Independent,Liberal,Iraq,Baghdad,,,
TRUE,Middle East and North Africa,Middle East,Iraq,Iraqi Al Amal Association,Independent,Liberal,Kirkuk,Iraq,Kurdistan,,
TRUE,Middle East and North Africa,Middle East,Iraq,Iraqi Center for Human Rights and Democracy Development,Foreign,Liberal,Iraq,Sulaimaniya,Kurdistan,,Ministry of Health Sulaimanya Iraq
FALSE,Middle East and North Africa,Middle East,Iraq,Iraqi Center for Research and Strategic Studies,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Iraqi Center for Research and Studies,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Iraqi Center for Strategic Studies,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Iraqi Economy Development Center,,,,,,,
TRUE,Middle East and North Africa,Middle East,Iraq,Iraqi Election Information Network,Independent,Liberal,Baghdad,Iraq,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Iraqi Institute for Democracy,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Iraqi Institute for Economic Reform (IIER),,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Iraqi Kurdistan NGO Network,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Iraqi Network for Human Rights Culture & Development,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Iraqi Organization for Human Rights Coordination ,,,,,,,
FALSE,Middle East and North Africa,Middle East,Iraq,Kurdish Institute for Elections,,,,,,,
TRUE,Middle East and North Africa,Middle East,Iraq,Legal Defense Council,University,Liberal,Iraq,Sulaimaniya,Kurdistan, 35 34 35.183 N 45 20 18.218 E,Sulaimani - Kirkuk Rd Sulaymaniyah Iraq
TRUE,Middle East and North Africa,Middle East,Iraq,NGO Coordination Committee in Iraq,Foreign,Liberal,Geneva,Switzerland,,45 13 47.516 N 6 7 42.85 E,Route de Ferney 150 1218 Grand-Saconnex Geneva Switzerland
FALSE,Middle East and North Africa,Middle East,Iraq,Shams Network for Election Monitoring,,,,,,,
FALSE,Middle East and North Africa,Middle East,Cyprus,Centre for World Dialogue,,,,,,,
FALSE,Middle East and North Africa,Middle East,Cyprus,Civilitas Research,,,,,,,
FALSE,Middle East and North Africa,Middle East,Cyprus,Cyprus Center for European and International Affairs,,,,,,,
FALSE,Middle East and North Africa,Middle East,Cyprus,Cyprus Institute of Mediterranean European and International Studies,,,,,,,
FALSE,Middle East and North Africa,Middle East,Cyprus,Cyprus Research Institute,,,,,,,
FALSE,Middle East and North Africa,Middle East,Cyprus,European Institute of Cyprus,,,,,,,
FALSE,Middle East and North Africa,Middle East,Yemen,National Center for Human Rights & Democratic Development  ,,,,,,,
FALSE,Middle East and North Africa,Middle East,Yemen,National Organization for Defending Rights & Freedoms,,,,,,,
FALSE,Middle East and North Africa,Middle East,Yemen,National Organization for Development of Society,,,,,,,
FALSE,Middle East and North Africa,Middle East,Yemen,Sheba Center for Strategic Studies,,,,,,,
FALSE,Middle East and North Africa,Middle East,Yemen,Sisters' Arab Forum for Human Rights,,,,,,,
FALSE,Middle East and North Africa,Middle East,Yemen,The Women's Forum for Research and Training  ,,,,,,,
FALSE,Middle East and North Africa,Middle East,Yemen,Yemen 21 Forum,,,,,,,
FALSE,Middle East and North Africa,Middle East,Yemen,Yemen Organization for Defense of Human Rights,,,,,,,
TRUE,Middle East and North Africa,Middle East,Yemen,Yemen Polling Center,Corporate,Liberal,Saana,Yeman,,15 20 22.664 N 44 11 58.855 E,5th Floor Qatar National Bank Building Alzubairi St.  Sanaa Repunlic of Yemen
FALSE,Middle East and North Africa,Middle East,Yemen,Yemeni Institute for Development of Democracy,,,,,,,
TRUE,Middle East and North Africa,Middle East,Yemen,Yemeni Observatory for Human Rights,Independent,Liberal,Saana,Yeman,,,
FALSE,Middle East and North Africa,Middle East,Yemen,Yemeni Organization for the Defense of Rights and Democratic Freedoms,,,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Al-Ahram Center for Political and Strategic Studies,,,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Alexandria University Desalition Studies and Technology Center,Governmental ,Conservative ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Al-Mishkat Center for Research,University,Non-partisian ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Al-Qarar Consulting Center,Independent,Conservative ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Arab Forum for Alternatives (AFE),Corporate,Non-partisian ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Arab Reform Forum at the Bibliotheca Alexandrina,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Arab Women Organization,Governmental ,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Association of Public Policy Analysis,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Cairo Demographic Center,Independent ,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Cairo Institute for Human Rights Studies,Government,Non-partisian,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Cairo Center for Conflict Resolution and Peace Keeping in Africa,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Center for Agricultural and Economic Studies,Governmental,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Center for Developing Country Studies,University,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Center for Economic and Financial Research and Studies,University,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Center for Political Research and Studies,University,Non-partisian ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Centre for Studies and Documentation for Economic  Legal and Social,University,Non-partisian ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Desert Development Center,Government Foreign,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Economic Research Forum,University Foreign,Non-partisian ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Egyptian Association for Training and Human Rights,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Egyptian Center for Economic Studies,Foreign,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Egyptian Center for Public Policy Studies ,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Egyptian Center for Women's Rights,Independent,Non-Partisan ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Egyptian Council for Foreign Affairs,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Ibn Khaldun Center for Development Studies,Independent,Conservative ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Information and Decision Support Center,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Institute of African Research and Studies,Government,Conservative ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Institute of Arab Research and Studies,University,Non-partisian ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Institute of National Planning,Foreign,Conservative ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Institute of Statistical Studies and Research,Government ,Conservative ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Interntional Center for future and strategic Studies ,University,Non-partisian,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Israel Academic Center In Cairo,Independent,Non-partisan ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Land Center for Human Rights,University ,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Maritime Research and Consultation Center,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Middle East Research Center and Future Studies at Ain Shams University,Independent,Non-partisian,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Nzara Center for Feminist Studies ,University,Conservative ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,New Civic Forum,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Population Council,Independent,Liberal ,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Public Administration Research and Consultation Center,Independent ,Non-partisian,,,,,
TRUE,Middle East and North Africa,North Africa,Egypt,Social Research Center,University,Non-partisian,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Agricultural Biotechnology Research Institute of Iran,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Agricultural Research  Education and Extension Organization,Government ,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Alborz Observatory,University,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Asef Think Tank,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Avicenna Research Institute (ARI) ,University,liberal,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Center for Reliability Research (CRR),Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Center for Strategic Research,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Center for Sustainable Development and Environment,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Center for Technology Studies (CTS),University,liberal,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Chemistry and Chemical Engineering Institute of Iran,University,liberal,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Economical and Industrial Studies research Center,University,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,French Institute of Iranian Research,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Hamyaran Iran NGO Resource Center,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Industrial Development and Renovation Organization of Iran (IDRO),Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute of Biochemistry and Biophysics,University,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for Advanced Research in Planning and Development,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for Humanities and Cultural Studies,Governmental ,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for International Energy Studies,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for Management and Planning Studies,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for Middle East Strategic Studies ,University ,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for Political and International Studies,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for Research in Fundemental Sciences,Governmental,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for Research in Planning and Development,University,conservative liberal,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for Trade Studies and Research,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute for Women's Studies and Research,Independent,liberal,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute of Iranian Contemporary Historical Studies,Independent,liberal,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute of Standards and Industrial Research,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Institute of Water & Energy,University,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,International Institute for Caspian Studies,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,International Institute of Seismology and Earthquake Engineering (IIEES),Governmental,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iran Center for Management Studies,University ,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iran Centre for Industrial Research and Development,Government ,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iran Management and Productivity Study Center,University ,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iran Polymer and Petrochemical Institute,Government ,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iran Review,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iran Telecommunications Research Center (ITRC),Government ,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iranian Engineering Development Company,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iranian Fisheries Research Organisation,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iranian Research Institute for Information Science & Technology,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iranian Research Organization for Science and Technology,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Iranian Society For Human Resource Society,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Islamic Parliament Research Center,Government ,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Magfa Information Technology Development Center,Government ,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,National Institute of Genetic Engineering and Biotechnology,Government ,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,National Research Institute for Science Policy,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Neda Institute for Scientific-Political Research,Government,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Niroo Research Institute,Governmental,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Pasteur Institute of Iran  ,Governmental ,conservative,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Ravand Institute for Economic and International Studies,Independent,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Research Center for Marine Engineering,University,Science,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Research Center for Nano Science and Technology(NSTRC),University,Science,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Research Center of Petroleum Industry,Governmental,Science,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Research Institute of  Hawzah and University,University,non-partisan,,,,,
TRUE,Middle East and North Africa,Near East,Iran,Research Institute of Petroleum Industry,University,Science,,,,,
